filename,caption_ru,caption_lt,split
img_000001.jpg,"Школьники сидят в классе, возле доски стоят учителя и разговаривают с ними.","Moksleiviai sėdi klasėje, o prie lentos stovintys mokytojai su jais kalbasi.",train
img_000002.jpg,Ночной вид огней города на заднем плане с зелеными деревьями на переднем плане.,"Miesto žiburiai naktyje, o pirmame plane — žaliuojantys medžiai.",train
img_000003.jpg,Инсталляция с перевернутыми автоприцепами на фоне облачного дневного неба.,Instaliacija su apverstais nameliais-autopriekabomis debesuoto dangaus fone.,train
img_000004.jpg,Встревоженная женщина из компьютерной экшн игры.,Sunerimusi moteris iš kompiuterinio veiksmo žaidimo.,train
img_000005.jpg,Спящая кошка на природе возле ограды.,Gamtoje prie tvoros mieganti katė.,train
img_000006.jpg,Стена здания с мозаикой в стиле конструктивизма с изображением змея и нескольких людей с крыльями.,"Konstruktyvizmo stiliaus mozaika ant pastato sienos, vaizduojanti gyvatę ir sparnuotus žmones.",train
img_000007.jpg,Стол с бумажными документами и с ноутбуком с открытой презентацией.,"Stalas su dokumentais ir nešiojamuoju kompiuteriu, kuriame atidaryta prezentacija.",train
img_000008.jpg,"Улица с горожанами на велосипедах в квартале с таунхаусами в солнечный день.

",Saulėta diena kotedžų kvartale: gatve važiuojantys miestiečiai su dviračiais.,train
img_000009.jpg,Ночной вид замка из детского парка с красными и синими крышами.,Naktinis vaizdas: vaikų parko pilis raudonais ir mėlynais stogais.,train
img_000010.jpg,Концертное выступление певца и гитариста в приглушенном свете.,Dainininko ir gitaristo pasirodymas prislopintoje šviesoje.,train
img_000011.jpg,"Здание 19 века в европейском городе с припаркованными рядом машинами.

",XIX a. pastatas Europos mieste ir šalia pastatyti automobiliai.,train
img_000012.jpg,"Фотография из закусочной с видом на заснеженные горы, с отражением посетителей в окне.",Nuotrauka iš užkandinės: pro langą matomi apsnigti kalnai ir lankytojų atspindžiai stikle.,train
img_000013.jpg,Уличное выступление людей в теплой стране с пальмами в котором команды строят пирамиды из людей.,Gatvės pasirodymas šiltajame krašte: žmonių komandos po palmėmis stato gyvąsias piramides.,train
img_000014.jpg,Осенний пейзаж с сухой травой и рекой вдалеке.,Rudens peizažas su sausa žole ir tolyje matoma upe.,train
img_000015.jpg,Довольный спортсмен с водной доской на травянистом берегу.,Patenkintas sportininkas su vandenlente žolėtame krante.,train
img_000016.jpg,Вид из окна дома на улицу со зданиями 19 века и припаркованными машинами и зеленеющими деревьями.,"Vaizdas pro namo langą į gatvę su XIX a. pastatais, automobiliais ir žaliuojančiais medžiais.",train
img_000017.jpg,Автобусная остановка на фоне жилых кондоминиумов.,Autobusų stotelė daugiabučių kvartalo fone.,train
img_000018.jpg,"Серфингист гребет, плывя на доске.",Banglentininkas irkluojantis gulėdamas ant lentos.,train
img_000019.jpg,Выступление мужчины перед аудиторией в промышленном здании.,Vyro pranešimas auditorijai pramoniniame pastate.,train
img_000020.jpg,Фотография одетых в костюмы мужчин и женщины приуроченная к мероприятию.,Oficiali kostiumais vilkinčių vyrų ir moters nuotrauka renginio metu.,train
img_000021.jpg,"Фото из судна на котором видно другое речное судно, берег реки и мест.","Vaizdas iš laivo: kitas upinis laivas, upės krantas ir tiltas.",train
img_000022.jpg,"Внутреннее помещение здания библиотеки в современном стиле минимализма.

",Šiuolaikinio minimalizmo stiliaus bibliotekos vidus.,train
img_000023.jpg,"Средневековая площадь со зданиями в виде башен и туристами.

",Viduramžių aikštė su bokšto formos pastatais ir turistais.,train
img_000024.jpg,Счастливая семья зимой - фото на лавочке.,Laiminga šeima žiemą: nuotrauka ant suoliuko.,train
img_000025.jpg,"Кухня кондитерской, где женщина оформляет торт, а мужчина наблюдает.

","Konditerijos virtuvė: moteris puošia tortą, o vyras ją stebi.",train
img_000026.jpg,Мужчина из Юго-восточной Азии в традиционном черном длинном одеянии в коридоре отеля.,Pietryčių Azijos kilmės vyras su tradiciniu ilgu juodu apdaru viešbučio koridoriuje.,train
img_000027.jpg,Трибуна со множеством людей.,Žmonių pilna tribūna.,train
img_000028.jpg,"Безжизненные оранжевые холмы с озером на переднем плане.

",Negyvi oranžiniai kalnai su ežeru pirmame plane.,train
img_000029.jpg,Богато украшенный скульптурами фасад христианского храма.,Skulptūromis gausiai dekoruotas krikščionių šventyklos fasadas.,train
img_000030.jpg,Ретро машина на выставке под открытым небом и посетители.,Parodoje po atviru dangumi eksponuojamas retro automobilis ir lankytojai.,train
img_000031.jpg,Фотография почтовой марки в стиле шарж.,Šaržo stiliaus pašto ženklas.,train
img_000032.jpg,Старая открытка со зданием отеля в США.,Sena atvirutė su JAV viešbučio pastatu.,train
img_000033.jpg,Красный ретро автомобиль выставленный на показ в общественном месте.,Viešoje vietoje eksponuojamas raudonas retro automobilis.,train
img_000034.jpg,Страница книги с двумя изображениями старинных поездов и их описанием.,Knygos puslapis su dviem senovinių traukinių iliustracijomis ir jų aprašymu.,train
img_000035.jpg,Кисти рук сцепленные вместе.,Sunertos rankos.,train
img_000036.jpg,Мужчина в костюме фараона на кухне.,Faraono kostiumu vilkintis vyras virtuvėje.,train
img_000037.jpg,Мужчина играет на скрипке в национальном костюме.,"Tautiniais drabužiais vilkintis vyras, grojantis smuiku.",train
img_000038.jpg,Дети в защитных шлемах играющие в игру с клюшкой и маленьким мячом.,Apsauginius šalmus dėvintys vaikai žaidžia žaidimą su lazdomis ir mažu kamuoliuku.,train
img_000039.jpg,Человек забрасывает невод в море на фоне пирса.,Žmogus metantis tinklą į jūrą prieplaukos fone.,train
img_000040.jpg,Виндсерфер на волнах в море.,Buriuotojas (vindsperfininkas) jūros bangose.,train
img_000041.jpg,Голлум - персонаж из Властелина Колец.,Golumas – „Žiedų valdovo“ personažas.,train
img_000042.jpg,"Молодой человек на театральной сцене с близкого ракурса.

","Jaunas vyras teatro scenoje, stambus planas.",train
img_000043.jpg,Горное озеро в окружении зеленых горных склонов и каменистым берегом.,"Kalnų ežeras, apsuptas žalių šlaitų ir akmenuoto kranto.",train
img_000044.jpg,Собака с маленьким ребенком в игрушечной машине смотрят на море.,Šuo ir mažas vaikas žaisliniame automobilyje žiūri į jūrą.,train
img_000045.jpg,Трасса в американском стиле с заснеженными горами на заднем плане.,Amerikietiško stiliaus greitkelis apsnigtų kalnų fone.,train
img_000046.jpg,Марина с яхтами и лодками в маленьком городке.,Mažo miestelio prieplauka su jachtomis ir valtimis.,train
img_000047.jpg,Темнокожие дети играют на городской улице.,"Tamsiaodžiai vaikai, žaidžiantys miesto gatvėje.",train
img_000048.jpg,Старая открытка с мультипликационными персонажами.,Sena atvirutė su animaciniais herojais.,train
img_000049.jpg,Водопад в озере с цветами и зелеными берегами.,Krioklys ežere su gėlėmis ir žaliuojančiais krantais.,train
img_000050.jpg,Частный большой дом за забором в тени больших деревьев.,"Didelis privatus namas už tvoros, didelių medžių šešėlyje.",train
img_000051.jpg,Молодой человек на лошади в пустыне на окраине города.,"Jaunuolis ant žirgo dykumoje, miesto pakraštyje.",train
img_000052.jpg,Много людей возле реки на фоне индийских храмов.,Daug žmonių prie upės Indijos šventyklų fone.,train
img_000053.jpg,Здание с высоким забором и зелеными деревьями вдоль улицы.,Pastatas su aukšta tvora ir palei gatvę augančiais žaliais medžiais.,train
img_000054.jpg,Выступление человека на конференции.,Žmogaus pranešimas konferencijoje.,train
img_000055.jpg,Пилот частного самолета в очках.,Privataus lėktuvo pilotas su akiniais.,train
img_000056.jpg,Открытка в честь рождения ребенка.,Atvirukas vaiko gimimo proga.,train
img_000057.jpg,Собака отдыхает на диване.,Ant sofos besilsintis šuo.,train
img_000058.jpg,Улица выложенная брусчаткой с припаркованными машинами и старинным зданием.,Grįsta gatvė su priparkuotais automobiliais ir senoviniu pastatu.,train
img_000059.jpg,"Памятник всадника на постаменте, в парке с посетителями вечером.",Raitelio paminklas ant postamento vakariniame parke su lankytojais.,train
img_000060.jpg,Церковный барельеф над входом в христианский храм.,Bažnytinis bareljefas virš įėjimo į krikščionių šventyklą.,train
img_000061.jpg,Старое фото с лошадью и машиной полной людей.,Senas nuotrauka: arklys ir pilnas žmonių automobilis.,train
img_000062.jpg,Футбольные трибуны полные людей с сине-белой атрибутикой.,"Futbolo tribūnos, pilnos žmonių su mėlynai balta atributika.",train
img_000063.jpg,Манипулятор с ковшом демонтирует дорожное покрытие на городской улице.,Ekskavatorius su kaušu ardo gatvės dangą miesto gatvėje.,train
img_000064.jpg,Рука держащая рулон пластыря с ребенком на заднем плане.,"Rankoje laikomas pleistro rulonas, fone matomas vaikas.",train
img_000065.jpg,Белый щенок сидит на полотенце.,Ant rankšluosčio sėdintis baltas šuniukas.,train
img_000066.jpg,Три выпрыгивающих дельфина на выступлении в дельфинарии с восторженными зрителями.,Trys iššokantys delfinai pasirodyme delfinariume ir susižavėję žiūrovai.,train
img_000067.jpg,Фото трех счастливых человек на память сделанное в кафе.,"Trijų laimingų žmonių nuotrauka, daryta kavinėje kaip suvenyras.",train
img_000068.jpg,Дневная панорама исторической части города.,Dieninė istoriaus miesto dalies panorama.,train
img_000069.jpg,Люди на совещании в расслабленной обстановке что-то обсуждают.,Laisvoje aplinkoje diskutuojantys žmonės susirinkimo metu.,train
img_000070.jpg,Черно-белое ретро уличное фото с девушками переходящими дорогу.,Nespalvota retro nuotrauka: gatvę pereinančios merginos.,train
img_000071.jpg,Люди сидят на улице возле стены.,Prie sienos lauke sėdintys žmonės.,train
img_000072.jpg,Строители с чертежами обсуждают детали работы.,Statybininkai su brėžiniais gatvėje aptaria darbo detales.,train
img_000073.jpg,Улица в тени деревьев.,Medžių šešėlyje esanti gatvė.,train
img_000074.jpg,Аллея звезд с пешеходами.,Žvaigždžių alėja su pėsčiaisiais.,train
img_000075.jpg,Мужчина за столом жестикулируя говорит на официальной встрече.,Oficialiame susitikime prie stalo gestikuliuodamas kalba vyras.,train
img_000076.jpg,Фотография наездницы на лошади на ипподроме в солнечный день.,Raitelės nuotrauka ant žirgo hipodrome saulėtą dieną.,train
img_000077.jpg,Панорама частных домов с огородами среди зеленых холмов.,Privačių namų su daržais panorama žaliuojančių kalvų apsuptyje.,train
img_000078.jpg,Доклад на конференции посвященной искусству.,Pranešimas menui skirtoje konferencijoje.,train
img_000079.jpg,Три девушки в кафе за столом с вечерней улицей за окном.,"Trys merginos kavinėje prie stalo, už lango matoma vakarinė gatvė.",train
img_000080.jpg,Лощадь положила голову на каменный забор.,"Arklys, padėjęs galvą ant akmeninės tvoros.",train
img_000081.jpg,Живое выступление группы на концерте.,Gyvas grupės pasirodymas koncerte.,train
img_000082.jpg,Дети разных возрастов читают книгу со сказками.,Įvairaus amžiaus vaikai skaitantys pasakų knygą.,train
img_000083.jpg,Красивое здание на улице и несколько случайно попавших на фото пешеходов.,Gražus pastatas gatvėje ir keli į kadrą patekę pėstieji.,train
img_000084.jpg,Радуга над полем после дождя.,Vaivorykštė virš lauko po lietaus.,train
img_000085.jpg,Две палатки в хвойном лесу.,Dvi palapinės spygliuočių miške.,train
img_000086.jpg,Памятник с изображением двух взрослых и ребенка.,"Paminklas, vaizduojantis du suaugusiuosius ir vaiką.",train
img_000087.jpg,"Палисадник с цветами, гламурно раскрашенными тыквами и гирляндой.","Gėlynas su gėlėmis, dekoratyviai nudažytais moliūgais ir girlianda.",train
img_000088.jpg,Молодая женщина на специально подготовленном фоне мероприятия.,Jauna moteris prie sienos su renginių logotipais.,train
img_000089.jpg,Рисунок карандашами в стиле шарж.,Pieštuku pieštas šaržas.,train
img_000090.jpg,Указательный знак остановки.,Stotelės ženklas.,train
img_000091.jpg,Христианское здание с побеленными стенами и церковными картинами на фасаде.,Baltintas krikščionių pastatas su bažnytiniais paveikslais ant fasado.,train
img_000092.jpg,Автомобиль американского автопрома 20-го века на солнечной улице.,XX a. amerikietiškas automobilis saulėtoje gatvėje.,train
img_000093.jpg,Ребенок взявшийся за дорожный знак Стоп на фоне морского берега.,"Vaikas, laikantis „Stop“ ženklą pajūrio fone.",train
img_000094.jpg,Горный пейзаж с зелеными и заснеженными вдалеке склонами.,Kalnų peizažas su žaliais šlaitais ir snieguotomis viršūnėmis tolyje.,train
img_000095.jpg,Несколько человек сидящих за ноутбуками в общественном пространстве.,Keli viešoje erdvėje prie nešiojamųjų kompiuterių sėdintys žmonės.,train
img_000096.jpg,Люди смотрят как водитель небольшой грузовой машины закрепляет материал в кузове.,"Žmonės stebi, kaip mažo sunkvežimio vairuotojas tvirtina krovinį kėbule.",train
img_000097.jpg,Религиозное здание с большим золотым куполом в окружении небольших белых домиков.,"Religinis pastatas su dideliu auksinu kupolu, apsuptas mažų baltų namelių.",train
img_000098.jpg,Игрок в хоккей с мячом на траве.,Žolės riedulio žaidėjas.,train
img_000099.jpg,Железнодорожный грузовой вагон.,Geležinkelio krovininis vagonas.,train
img_000100.jpg,Бурная река с укрепленными камнем берегами в солнечных лучах на фоне леса.,Srauni upė akmenimis sutvirtintais krantais saulės spinduliuose miško fone.,train
img_000101.jpg,Раскрашенная глиняная игрушка неведомого существа.,Dažytas molinis nežinomos būtybės žaislas.,train
img_000102.jpg,Игроки в американский футбол готовятся к разыгрыванию мяча.,Amerikietiško futbolo žaidėjai ruošiasi kamuolio išžaidimui.,train
img_000103.jpg,Кот сидит на крыше частного дома за забором.,Ant privataus namo stogo už tvoros sėdinti katė.,train
img_000104.jpg,Люди на официальном мероприятии за столом обсуждают детали.,Oficialaus renginio dalyviai prie stalo aptaria detales.,train
img_000105.jpg,Старый белокаменный город с лестницами.,Senas balto mūro miestas su laiptais.,train
img_000106.jpg,Мусор из кофейных стаканчиков на улице города.,Išmesti kavos puodeliai miesto gatvėje.,train
img_000107.jpg,Улицы с едущим трамваем и машинами на фоне старых домов.,Gatvė su važiuojančiu tramvajumi ir automobiliais senų namų fone.,train
img_000108.jpg,Бурная растительность со множеством веток в лесу.,Vešli miško augmenija su daugybe šakų.,train
img_000109.jpg,Арка входных ворот с женщинами стоящими под ней.,Įėjimo vartų arka ir po ja stovinčios moterys.,train
img_000110.jpg,Модель парусного корабля в музее.,Buriuoto laivo modelis muziejuje.,train
img_000111.jpg,Коллекция игрушечных персонажей из комиксов стоящих на витрине. игрушечных персонажей из комиксов стоящих в витрине.,Komiksų personažų figūrėlių kolekcija vitrinoje.,train
img_000112.jpg,Много людей за длинным столом трапезничают.,Daug žmonių vakarieniauja prie ilgo stalo.,train
img_000113.jpg,Остановке на фоне высокой подпорной стены в городе.,Stotelė prie aukštos atraminės sienos mieste.,train
img_000114.jpg,Архитектурная часть храмового восточного комплекса с крышей.,Rytietiškos šventyklos komplekso architektūrinė dalis su stogu.,train
img_000115.jpg,Дети играющие в американский футбол и наблюдающие за ними родители.,Amerikietišką futbolą žaidžiantys vaikai ir juos stebintys tėvai.,train
img_000116.jpg,Девушка ходит вдоль дороги с анкетой.,Gatve su anketa einanti mergina.,train
img_000117.jpg,Международное мероприятие со множеством флагштоков и флагами разных стран.,Tarptautinis renginys su daugybe vėliavų stiebų ir įvairių šalių vėliavomis.,train
img_000118.jpg,Скальный выступ в окружении леса с дорогой у его подножия.,Uolėta atbraila miško apsuptyje ir papėdėje esantis kelias.,train
img_000119.jpg,Танцор в современном стиле на сцене.,Šiuolaikinio stiliaus šokėjas scenoje.,train
